1625097600000,2275.68000000,2275.93000000,2073.12000000,2106.41000000,787865.25137000,1625183999999,1688043308.12725720,1414518,384175.37542000,822709363.86298340,0
1625184000000,2106.41000000,2160.00000000,2018.50000000,2154.13000000,672282.37476000,1625270399999,1397269246.26645640,862561,337006.28168000,700715966.08241900,0
1625270400000,2153.95000000,2240.00000000,2112.01000000,2226.99000000,569264.80100000,1625356799999,1248888441.25315360,922576,295114.62138000,647377288.84975310,0
1625356800000,2226.99000000,2389.93000000,2189.58000000,2322.69000000,590656.25069000,1625443199999,1365904900.34990690,1204553,301461.36172000,697045137.93735710,0
1625443200000,2322.69000000,2324.64000000,2157.32000000,2196.53000000,781806.31605000,1625529599999,1753862827.37910470,1264204,376068.64852000,843863080.02800320,0
1625529600000,2196.85000000,2350.00000000,2193.00000000,2322.50000000,785330.17152000,1625615999999,1803108194.46840940,1326163,394638.45053000,905951763.47152810,0
1625616000000,2322.51000000,2409.00000000,2291.90000000,2316.57000000,666501.35572000,1625702399999,1570553094.63757130,1113578,341514.34243000,804702677.27470940,0
1625702400000,2316.25000000,2325.60000000,2084.79000000,2116.33000000,880265.04124000,1625788799999,1926184139.30984800,1234614,430334.02257000,941278322.13075520,0
1625788800000,2116.32000000,2189.40000000,2046.51000000,2146.99000000,738611.36304000,1625875199999,1568646237.31099510,867603,376374.92640000,799855032.10683950,0
1625875200000,2146.99000000,2194.82000000,2074.16000000,2110.69000000,499071.85904000,1625961599999,1058023794.51142400,646476,244207.37542000,517802339.24897590,0
1625961600000,2110.68000000,2174.00000000,2081.02000000,2140.45000000,342294.40302000,1626047999999,727911535.26899800,479138,175830.75143000,374053441.95443570,0
1626048000000,2140.54000000,2167.83000000,2006.68000000,2031.58000000,540630.10742000,1626134399999,1126108847.37136920,725803,259649.61299000,541195461.20277140,0
1626134400000,2031.57000000,2047.35000000,1918.00000000,1940.15000000,647388.24969000,1626220799999,1287490852.46149500,902810,316356.56219000,629467223.59503010,0
1626220800000,1940.44000000,2019.18000000,1865.00000000,1994.58000000,690505.60937000,1626307199999,1342931974.34964650,936438,340257.85670000,661765917.43079320,0
1626307200000,1994.41000000,2042.88000000,1881.00000000,1919.51000000,645271.32563000,1626393599999,1251834409.94177210,865033,327273.48478000,635240853.68817500,0
1626393600000,1919.54000000,1965.00000000,1850.00000000,1876.26000000,577068.89724000,1626479999999,1097832472.32213350,721120,281955.46534000,536656638.66655450,0
1626480000000,1876.47000000,1919.19000000,1844.45000000,1899.59000000,430300.51578000,1626566399999,810628641.25790230,576008,216291.07537000,407705129.43381680,0
1626566400000,1899.50000000,1993.79000000,1877.10000000,1891.64000000,534837.63654000,1626652799999,1038104997.52201780,768528,265665.55659000,515762272.12334460,0
1626652800000,1891.65000000,1919.00000000,1805.00000000,1818.73000000,547419.93771000,1626739199999,1011627398.92388260,641063,251885.98865000,465870373.91848700,0
1626739200000,1818.73000000,1841.34000000,1706.00000000,1786.03000000,786257.27200000,1626825599999,1386498470.34016670,943640,361612.01276000,638066651.10509070,0
1626825600000,1786.03000000,2035.23000000,1747.55000000,1995.50000000,1115949.82033000,1626911999999,2138345813.78544520,1304423,572242.67732000,1096535844.29122840,0
1626912000000,1995.50000000,2046.00000000,1947.62000000,2024.56000000,768854.36590000,1626998399999,1536669128.52045190,1074800,380631.63083000,760682754.97891000,0
1626998400000,2024.27000000,2130.90000000,1993.22000000,2124.25000000,708160.91322000,1627084799999,1455496732.05165370,1035643,369453.14045000,759725736.55294710,0
1627084800000,2124.26000000,2199.50000000,2105.58000000,2184.75000000,633075.18592000,1627171199999,1360667031.98300710,1056670,325598.83875000,699891567.75717780,0
1627171200000,2184.90000000,2197.41000000,2105.93000000,2189.79000000,535630.27000000,1627257599999,1154562327.65394490,941623,264032.01071000,569308146.37992020,0
1627257600000,2189.82000000,2433.65000000,2171.57000000,2228.08000000,1393738.16300000,1627343999999,3222622416.25672450,2252910,700749.72547000,1620304810.08242410,0
1627344000000,2227.81000000,2319.26000000,2150.50000000,2299.49000000,906359.23478000,1627430399999,2025582065.41379440,1502763,453060.98840000,1012813193.01872810,0
1627430400000,2299.47000000,2345.00000000,2243.15000000,2300.90000000,718202.57727000,1627516799999,1649860557.29344960,1287050,354056.40824000,813646516.75851010,0
1627516800000,2300.90000000,2400.00000000,2266.12000000,2382.92000000,499364.83496000,1627603199999,1157988358.94629320,1036449,256551.90722000,595101393.80372220,0
1627603200000,2382.93000000,2471.70000000,2315.92000000,2461.81000000,762577.28797000,1627689599999,1824191451.55863100,1428312,392130.06114000,938693364.85985250,0
1627689600000,2461.77000000,2553.86000000,2420.68000000,2531.05000000,507601.05026000,1627775999999,1253810139.13837080,1007386,260698.67822000,644275659.91790090,0
