1609459200000,1.50880000,1.86000000,1.49900000,1.84210000,4421991.45000000,1609545599999,7454786.75142100,55297,2245799.78000000,3786558.94633000,0
1609545600000,1.84210000,2.00000000,1.71160000,1.79990000,5253819.62000000,1609631999999,9557980.68757600,66430,2823436.79000000,5138509.11614200,0
1609632000000,1.79980000,2.38000000,1.79730000,2.17790000,8318341.13000000,1609718399999,17482673.12198400,113481,4234769.76000000,8925287.22095500,0
1609718400000,2.17890000,2.49890000,1.86000000,2.49090000,7800814.80000000,1609804799999,17263517.83170600,122009,4012884.10000000,8935782.99605800,0
1609804800000,2.49110000,2.50930000,2.06210000,2.16360000,6702006.99000000,1609891199999,15133557.77000300,102299,3156689.79000000,7157811.06265500,0
1609891200000,2.16360000,2.18900000,1.90170000,1.94140000,8451529.47000000,1609977599999,17221696.08486100,88678,3594065.46000000,7342479.15920300,0
1609977600000,1.94040000,2.65000000,1.92140000,2.36350000,30861006.24000000,1610063999999,70874327.56845300,271878,16442161.48000000,37873764.63307900,0
1610064000000,2.36550000,3.80000000,2.17500000,3.22140000,29866396.67000000,1610150399999,88937219.79113700,221673,15326054.47000000,45285859.11180700,0
1610150400000,3.21200000,3.69980000,2.93000000,3.38290000,9881188.65000000,1610236799999,32398842.92631900,109729,5107947.60000000,16773576.98437200,0
1610236800000,3.37340000,3.75170000,3.15560000,3.44900000,5819813.51000000,1610323199999,19820052.05907400,70395,2974378.74000000,10115504.61291200,0
1610323200000,3.44550000,3.52820000,2.57950000,3.10160000,8734261.68000000,1610409599999,26060971.36973300,92843,4457743.46000000,13346938.24705900,0
1610409600000,3.10160000,3.88000000,3.05800000,3.63540000,7075911.68000000,1610495999999,24684774.36672100,155651,3589655.74000000,12527196.51478300,0
1610496000000,3.63540000,3.63700000,3.26330000,3.52420000,5123655.80000000,1610582399999,17689395.16817700,99621,2399232.88000000,8278207.08056300,0
1610582400000,3.52430000,3.59550000,3.18140000,3.29210000,6422109.73000000,1610668799999,21634400.51898500,96919,2874540.06000000,9683987.79983300,0
1610668800000,3.29210000,3.44890000,2.96180000,3.24750000,4812542.83000000,1610755199999,15747506.37993800,74648,2344209.16000000,7689693.68513200,0
1610755200000,3.24790000,3.70810000,3.24630000,3.42470000,8562549.63000000,1610841599999,29411668.95391700,124687,4373093.87000000,15055993.84116600,0
1610841600000,3.42510000,3.98760000,3.30000000,3.82680000,8531899.81000000,1610927999999,31265663.12121500,105174,4130508.62000000,15196205.70853600,0
1610928000000,3.82430000,4.17000000,3.61670000,3.78680000,6226924.77000000,1611014399999,24245044.14296300,78131,3026180.84000000,11790356.66987400,0
1611014400000,3.78730000,4.04980000,3.60000000,3.62870000,4768719.77000000,1611100799999,18206626.78596700,64919,2296602.21000000,8774318.87933100,0
1611100800000,3.62880000,3.74130000,3.34000000,3.71660000,4801640.28000000,1611187199999,17069848.35891500,74604,1932023.51000000,6889066.21353800,0
1611187200000,3.71990000,3.74110000,2.97170000,2.98990000,4375407.94000000,1611273599999,14701372.41330500,60277,1964845.74000000,6614911.90983100,0
1611273600000,2.98930000,3.49920000,2.52950000,3.33520000,6481502.65000000,1611359999999,20052814.35467700,83968,3116221.55000000,9669577.99765200,0
1611360000000,3.33020000,3.60000000,3.30560000,3.50790000,2269454.70000000,1611446399999,7924853.01216300,33884,1215667.11000000,4248640.73185500,0
1611446400000,3.50180000,3.79000000,3.47810000,3.62780000,2457759.67000000,1611532799999,8934610.12234500,32628,1200054.56000000,4371307.34440000,0
1611532800000,3.62870000,3.99280000,3.43980000,3.70380000,6791542.33000000,1611619199999,24997969.21330100,82263,3317737.42000000,12228221.98800900,0
1611619200000,3.70360000,4.09700000,3.64780000,4.04100000,6618303.90000000,1611705599999,25778078.43709200,75426,3482541.20000000,13582120.32655800,0
1611705600000,4.04180000,4.04220000,3.51140000,3.67500000,2491757.82000000,1611791999999,9309018.95941200,38794,1151705.71000000,4306099.29604800,0
1611792000000,3.66400000,3.96000000,3.60000000,3.81000000,2055425.01000000,1611878399999,7853439.52432800,33822,1055600.91000000,4037852.52440400,0
1611878400000,3.80920000,3.91200000,3.60000000,3.82930000,2992168.86000000,1611964799999,11255370.83607500,42872,1516015.16000000,5705753.91358300,0
1611964800000,3.83010000,4.31790000,3.76670000,4.22800000,3944655.04000000,1612051199999,15975662.22306400,61647,2127339.63000000,8615904.42831500,0
1612051200000,4.22800000,4.80500000,4.15400000,4.25250000,5438870.48000000,1612137599999,24123927.24661000,94648,2812948.97000000,12497054.91100500,0
